task_id,episodes,verified,verified_rate,mean_reward,reward_variance,min_reward,max_reward,mean_tool_calls,mean_wall_clock_seconds,total_cost_usd,cost_per_verified_finding_usd
task_001_future_filing_contamination,15,12,0.8,0.9656187030303031,0.002878821043203275,0.8437236818181817,0.9919365,4.0,0.32103604001458735,0.0,0.0
task_002_historical_valuation,15,12,0.8,0.9519793727272727,0.008805446675193172,0.6391952272727273,0.99193,4.0,0.3390328666738545,0.0,0.0
task_003_black_scholes,15,13,0.8666666666666667,0.9754944909090909,0.0018372107995482678,0.8437161818181816,0.991935,4.0,0.34037770665405936,0.0,0.0
task_004_valuation_sensitivity,15,11,0.7333333333333333,0.9327076787878787,0.0112515270355095,0.6391852272727273,0.991931,4.0,0.38194091998351115,0.0,0.0
task_005_point_in_time_momentum,15,10,0.6666666666666666,0.9219177666666667,0.014437862933451479,0.6391957272727273,0.991932,4.0,0.5062218666619932,0.0,0.0
task_006_leaked_alpha,15,9,0.6,0.9129514030303031,0.011448839446634955,0.6392067272727273,0.991931,4.0,0.35399702000431715,0.0,0.0
task_007_covariance_instability,15,11,0.7333333333333333,0.9590719484848484,0.003134053826874349,0.8437311818181816,0.991931,4.0,0.3533472866828864,0.0,0.0
task_008_var_coverage,15,11,0.7333333333333333,0.9360408787878788,0.01081293864484344,0.6392062272727272,0.991932,4.0,0.6645348800191034,0.0,0.0
task_009_regime_leakage,15,10,0.6666666666666666,0.9219235,0.014438392097643804,0.6391792272727272,0.991935,4.0,0.32393491998470075,0.0,0.0
task_010_filing_evidence,15,9,0.6,0.905674009090909,0.015221260111069205,0.6391707272727273,0.991932,4.0,0.36231850667390975,0.0,0.0
